Objects
100
,,Global Angle (Quaternion) backpack:backpack2,,,,,,,Global Angle (Quaternion) head:headPattern,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm,,,,,mm,mm,mm
161,0,-0.310966,-0.119058,0.798404,-0.501674,155.94,-2870.31,171.17,-0.250817,-0.637634,0.728101,0.0195552,122.579,-2940.47,206.803
162,0,-0.31714,-0.120203,0.791487,-0.50845,156.645,-2871.01,171.292,-0.280015,-0.646167,0.708873,0.0394874,127.809,-2938.7,204.548
163,0,-0.31385,-0.12638,0.799753,-0.495905,157.297,-2870.97,171.725,,,,,,,
164,0,-0.310913,-0.125551,0.802517,-0.493493,158.248,-2871.04,171.854,,,,,,,
165,0,-0.30522,-0.130518,0.804765,-0.492097,159.589,-2871.34,172.173,,,,,,,
166,0,-0.304509,-0.129466,0.807731,-0.487937,160.553,-2871.54,172.324,0.156412,-0.188235,0.0954767,0.964877,136.475,-2948.08,231.304
167,0,-0.301633,-0.128957,0.812411,-0.482053,161.499,-2871.13,172.405,0.15435,-0.234395,0.120864,0.95217,136.013,-2944.74,233.058
168,0,-0.301554,-0.130825,0.810581,-0.484674,162.699,-2871.4,172.403,0.167209,-0.238091,0.12787,0.948158,127.872,-2942.64,231.607
169,0,-0.303435,-0.127306,0.814643,-0.477575,163.352,-2871.03,172.55,0.115514,0.586279,-0.691443,0.406005,112.596,-2953.08,197.518
170,0,-0.30916,-0.124094,0.814953,-0.474207,163.584,-2870.79,172.587,,,,,,,
171,0,-0.313734,-0.122492,0.812242,-0.476267,163.811,-2871.02,172.877,,,,,,,
172,0,-0.321343,-0.123773,0.808972,-0.476427,163.872,-2871.86,172.895,-0.550637,-0.0826509,0.0503629,0.829115,135.544,-2951.7,214.132
173,0,-0.326973,-0.120286,0.807727,-0.475601,163.71,-2872.3,173.298,,,,,,,
174,0,-0.335102,-0.13482,0.807641,-0.466097,164.36,-2874.07,173.659,,,,,,,
175,0,-0.339566,-0.145589,0.81009,-0.455251,165.326,-2875.48,173.647,-0.0389333,-0.625732,0.734905,0.258571,134.787,-2947.52,210.624
176,0,-0.343131,-0.15758,0.81274,-0.443715,166.498,-2877.15,173.397,,,,,,,
177,0,-0.350598,-0.171001,0.811184,-0.435683,167.321,-2878.64,173.158,,,,,,,
178,0,-0.365503,-0.22231,0.830524,-0.356673,167.953,-2879.65,172.626,-0.695031,0.519358,0.453658,0.203453,114.613,-2954.22,177.081
179,0,-0.378793,-0.218327,0.824739,-0.358685,167.056,-2879.62,171.525,,,,,,,
180,0,-0.385361,-0.218382,0.821093,-0.360016,166.391,-2880.07,170.446,,,,,,,
181,0,-0.409664,-0.212363,0.8048,-0.373329,164.498,-2880.86,168.607,-0.968818,-0.0848837,-0.123242,-0.197479,148.173,-2969,165.674
182,0,-0.425977,-0.225587,0.791719,-0.37528,161.966,-2881,167.446,-0.956316,-0.0717895,-0.193093,-0.207418,148.751,-2964.68,165.702
183,0,-0.441259,-0.232982,0.788106,-0.360416,159.461,-2880.52,165.953,,,,,,,
184,0,-0.448669,-0.241112,0.783604,-0.355705,157.047,-2879.53,164.369,-0.496384,-0.851576,0.164841,-0.0353176,103.158,-2952.59,149.478
185,0,-0.453691,-0.231642,0.778413,-0.366851,155.464,-2877.96,162.302,,,,,,,
186,0,-0.466133,-0.222376,0.775406,-0.363338,154.68,-2876.67,160.231,,,,,,,
187,0,-0.480028,-0.202595,0.762384,-0.383795,153.993,-2876.43,158.106,-0.576818,0.282777,-0.480742,0.596829,113.48,-2942.06,163.853
188,0,-0.49661,-0.197722,0.757164,-0.375483,153.518,-2876.08,156.529,,,,,,,
189,0,-0.517085,-0.194955,0.746031,-0.371557,151.973,-2875.66,155.067,,,,,,,
190,0,-0.537406,-0.192858,0.731798,-0.372118,149.943,-2874.83,153.881,-0.316831,-0.475894,-0.371251,0.731653,91.5224,-2942.62,149.894
191,0,-0.544057,-0.202299,0.729034,-0.362749,148.959,-2873.14,152.666,,,,,,,
192,0,-0.534149,-0.209823,0.732284,-0.366632,149.26,-2871.74,152.236,,,,,,,
193,0,-0.515709,-0.211044,0.738511,-0.379614,151.29,-2871.22,152.413,-0.397925,-0.543877,-0.533827,0.510766,86.3059,-2934.34,127.518
194,0,-0.510606,-0.209062,0.743504,-0.377858,153.496,-2870.82,152.338,,,,,,,
195,0,-0.51238,-0.208931,0.744637,-0.37327,155.858,-2870.95,152.617,,,,,,,
196,0,-0.518206,-0.218127,0.745324,-0.358295,158.345,-2871.57,152.909,-0.323608,0.256872,-0.127271,0.901719,131.983,-2948.13,137.034
197,0,-0.519552,-0.22594,0.747808,-0.346121,159.822,-2871.77,153.862,,,,,,,
198,0,-0.517879,-0.238365,0.749243,-0.337072,160.834,-2871.05,154.765,,,,,,,
199,0,-0.502321,-0.244221,0.754641,-0.344307,162.394,-2869.86,156.148,-0.591297,-0.723833,-0.0880084,0.344513,105.581,-2933.05,127.577
200,0,-0.485703,-0.255135,0.763229,-0.341293,163.594,-2868.6,156.945,,,,,,,
